code,name,chapter,description,inclusions,source_datasets
C169,"Stomach, unspecified [1]",Chapter II: Neoplasms,"the primary stomach cancer ( gastric cancer) when the physician's documentation does not specify exactly which part of the stomach the tumor is located in, or if the exact origin site connot be determined.",Gastric cancer NOS,Tayside and Fife
C169D,"Stomach, unspecified [1]",Chapter II: Neoplasms,"the primary stomach cancer ( gastric cancer) when the physician's documentation does not specify exactly which part of the stomach the tumor is located in, or if the exact origin site connot be determined.",,Tayside and Fife
C17,Malignant neoplasm of small intestine.,Chapter II: Neoplasms,Cancerous growth that originates in the tissues of the small bowel,,National Scotland
C170,Malignant neoplasm of duodenum.,Chapter II: Neoplasms,"Cancerous tumor located in the duodenum, which is the first, shortest, and widest part of the small intestine that connects directly to the exit valve of the stomach",,Tayside and Fife
C172,Malignant neoplasm of ileum,Chapter II: Neoplasms,"Cancerous tumor located in he ileum, which is the third, final, and longest section of the small intestine. It connects the middle section of the small bowel (the jejunum) to the large intestine(the colon)",,Tayside and Fife
C18,Malignant neoplasm of colon.,Chapter II: Neoplasms,Cancerous growth that originates in the tissues and inner lining of the large bowel,,National Scotland
C180,Malignant neoplasm of cecum,Chapter II: Neoplasms,"The primary cancerous tumor located in the cecum, which is the large, blind-ended pouch that forms the very beginning of the large intestine(colon)",Ileocaecal valve,Tayside and Fife
C181,Malignant neoplasm of the Appendix,Chapter II: Neoplasms,"The primary cancerous tumor located within the appendix( appendix vermiformis), which is the small, finger-like pouch projecting out from the cecum in the lower right side of the abdomen.",,Tayside and Fife
C182,Ascending colon (the upward section on the right side of the abdomen),Chapter II: Neoplasms,The primary cancerous tumor located in the first long section of the large intestine.,,Tayside and Fife
C183,Hepatic flexure (the bend near the liver),Chapter II: Neoplasms,"The primary cancer located at the sharp bend or turn of the colon on the upper right side of the abdomen, right beneath the liver( hepar). It marks the transition point where the upward-running ascending colon turns to cross the body horizontally.",,Tayside and Fife
C184,Transverse colon (the section crossing from right to left),Chapter II: Neoplasms,"The primary cancer located in the long, horizontal segment of the large intestine that crosses the upper abdomen from right to left, sitting between the hepatic and splenic flexures.",,Tayside and Fife
C185,Splenic flexure (the bend near the spleen),Chapter II: Neoplasms,"The primary cancer located at the sharp bend of the colon in the upper left side of the abdomen, right next to the spleen. It marks the transition point where the horizontal transverse colon turns downward",,Tayside and Fife
C186,Descending colon (the downward section on the left side),Chapter II: Neoplasms,"The  This refers to a primary cancer located in the downward-running segment of the large intestine on the left side of the abdomen, moving waste down from the splenic flexure toward the pelvis.",,Tayside and Fife
C187,Sigmoid colon (the S-shaped loop connecting to the rectum),Chapter II: Neoplasms,The primary cancer located in the S-shaped loop of the colon in the lower-left pelvis. This segment is responsible for storing waste before it passes into the rectum.,Sigmoid (flexure),Tayside and Fife
C189,"Colon, unspecified",Chapter II: Neoplasms,"This is a general or ""Not Otherwise Specified"" (NOS) code used when clinical records or pathology reports diagnose a primary colon cancer but fail to specify exactly which anatomical segment (such as ascending, transverse, or sigmoid) the tumor originated in.",Large intestine NOS,Tayside and Fife
C19,Malignant neoplasm of rectosigmoid junction (border between the colon and rectum),Chapter II: Neoplasms,Cancer located right on the anatomical border where the S-shaped lower colon turns into the rectum.,Colon with rectum | Rectosigmoid (colon),National Scotland
C19X,Malignant neoplasm of rectosigmoid junction (border between the colon and rectum),Chapter II: Neoplasms,Cancer located right on the anatomical border where the S-shaped lower colon turns into the rectum.,Colon with rectum | Rectosigmoid (colon),Tayside and Fife
C20,Malignant neoplasm of rectum.,Chapter II: Neoplasms,"Cancer originating in the final 12â€“15 centimeters of the large intestine, ending just above the anal canal.",Rectal ampulla,National Scotland
C20X,Malignant neoplasm of rectum.,Chapter II: Neoplasms,"Cancer originating in the final 12â€“15 centimeters of the large intestine, ending just above the anal canal.",Rectal ampulla,Tayside and Fife
C21,Malignant neoplasm of anus and anal canal.,Chapter II: Neoplasms,"Cancer starting in the very end of the digestive tract, where waste exits the body.",,National Scotland
C210,"Malignant neoplasm of anus, unspecified.",Chapter II: Neoplasms,"Cancer starting in the very end of the digestive tract, where waste exits the body.",,Tayside and Fife
C22,Malignant neoplasm of liver and intrahepatic bile ducts.,Chapter II: Neoplasms,Primary cancer of the liver tissue when the specific cell type isn't documented.,,National Scotland
C220,Liver cell carcinoma (Hepatocellular carcinoma / hepatoma).,Chapter II: Neoplasms,"Specifically Hepatocellular Carcinoma (HCC), which starts in the main liver cells (hepatocytes). It is the most common form of primary liver cancer.",Hepatocellular carcinoma | Hepatoma,Tayside and Fife
C221,Intrahepatic bile duct carcinoma (Cholangiocarcinoma).,Chapter II: Neoplasms,"Also known as cholangiocarcinoma, this cancer starts in the tiny fluid-drainage tubes located inside the liver.",Cholangiocarcinoma,Tayside and Fife
C229,"Malignant neoplasm of liver, unspecified.",Chapter II: Neoplasms,Primary cancer of the liver tissue when the specific cell type isn't documented.,,Tayside and Fife
C23,Malignant neoplasm of gallbladder.,Chapter II: Neoplasms,"Cancer of the small, pear-shaped organ beneath the liver that stores bile.",,National Scotland
C23X,Malignant neoplasm of gallbladder.,Chapter II: Neoplasms,"Cancer of the small, pear-shaped organ beneath the liver that stores bile.",,Tayside and Fife
C24,Malignant neoplasm of other and unspecified parts of biliary tract (such as the extrahepatic bile duct).,Chapter II: Neoplasms,"Cancer in the fluid-drainage system outside the liver, including the common bile duct.",,National Scotland
C25,Malignant neoplasm of pancreas.,Chapter II: Neoplasms,Cancer of the hormone and enzyme-producing gland behind the stomach.,,National Scotland
C250,Malignant neoplasm of head of pancreas.,Chapter II: Neoplasms,"These codes pinpoint the exact section of the pancreas. The ""head"" is next to the small intestine, the ""body"" is the middle, and the ""tail"" points toward the spleen.",,Tayside and Fife
C251,Malignant neoplasm of body of pancreas.,Chapter II: Neoplasms,"These codes pinpoint the exact section of the pancreas. The ""head"" is next to the small intestine, the ""body"" is the middle, and the ""tail"" points toward the spleen.",,Tayside and Fife
C252,Malignant neoplasm of tail of pancreas.,Chapter II: Neoplasms,"These codes pinpoint the exact section of the pancreas. The ""head"" is next to the small intestine, the ""body"" is the middle, and the ""tail"" points toward the spleen.",,Tayside and Fife
C259,"Malignant neoplasm of pancreas, unspecified.",Chapter II: Neoplasms,Cancer of the hormone and enzyme-producing gland behind the stomach.,,Tayside and Fife
C26,Malignant neoplasm of other and ill-defined digestive organs.,Chapter II: Neoplasms,A fallback code used when a tumor spans multiple digestive organs and its exact starting point cannot be isolated.,,National Scotland
C32,Malignant neoplasm of larynx (voice box).,Chapter II: Neoplasms,"Cancer of the voice box. ""Supraglottis"" specifically means it is located in the upper section above the vocal cords.",,National Scotland
C321,Malignant neoplasm of supraglottis (upper portion of larynx),Chapter II: Neoplasms,"Cancer of the voice box. ""Supraglottis"" specifically means it is located in the upper section above the vocal cords.","Aryepiglottic fold, laryngeal aspect | Epiglottis (suprahyoid portion) NOS | Extrinsic larynx | False vocal cord | Posterior (laryngeal) surface of epiglottis | Ventricular bands",Tayside and Fife
C34,Malignant neoplasm of bronchus and lung.,Chapter II: Neoplasms,General lung cancer where the specific lobe or airway is not documented.,,National Scotland
C340,Malignant neoplasm of main bronchus,Chapter II: Neoplasms,"Cancer located in the large, primary airways leading directly from the windpipe into the lungs.",Carina | Hilus (of lung),Tayside and Fife
C341,"Malignant neoplasm of upper lobe, bronchus or lung.",Chapter II: Neoplasms,These specify the exact anatomical section of the lung where the tumor is growing.,,Tayside and Fife
C342,"Malignant neoplasm of middle lobe, bronchus or lung.",Chapter II: Neoplasms,These specify the exact anatomical section of the lung where the tumor is growing.,,Tayside and Fife
C343,"Malignant neoplasm of lower lobe, bronchus or lung.",Chapter II: Neoplasms,These specify the exact anatomical section of the lung where the tumor is growing.,,Tayside and Fife
C349,"Malignant neoplasm of  bronchus or lung, unspecified.",Chapter II: Neoplasms,General lung cancer where the specific lobe or airway is not documented.,,Tayside and Fife
C349D,"Malignant neoplasm of  bronchus or lung, unspecified.",Chapter II: Neoplasms,General lung cancer where the specific lobe or airway is not documented.,,Tayside and Fife
C38,"Malignant neoplasm of heart, mediastinum, and pleura",Chapter II: Neoplasms,"Rare tumors of the heart, the space between the lungs (mediastinum), or the chest cavity lining.",,National Scotland
C411,Malignant neoplasm of mandible (lower jaw bone).,Chapter II: Neoplasms,A primary bone cancer originating inside the lower jawbone.,Lower jaw bone,Tayside and Fife
C43,Malignant melanoma of skin,Chapter II: Neoplasms,"An aggressive type of skin cancer that begins in the pigment-producing cells (melanocytes). The sub-codes track whether it is located on the face, the trunk (chest/back), or the lower limbs (legs/hip).",morphology codes M872-M879 with behaviour code /3,National Scotland
C433,Malignant melanoma of other and unspecified parts of face.,Chapter II: Neoplasms,"An aggressive type of skin cancer that begins in the pigment-producing cells (melanocytes). The sub-codes track whether it is located on the face, the trunk (chest/back), or the lower limbs (legs/hip).",,Tayside and Fife
C435,Malignant melanoma of trunk.,Chapter II: Neoplasms,"An aggressive type of skin cancer that begins in the pigment-producing cells (melanocytes). The sub-codes track whether it is located on the face, the trunk (chest/back), or the lower limbs (legs/hip).",Anal: margin | Anal: skin | Perianal skin | Skin of breast,Tayside and Fife
C437,"Malignant melanoma of lower limb, including hip.",Chapter II: Neoplasms,"An aggressive type of skin cancer that begins in the pigment-producing cells (melanocytes). The sub-codes track whether it is located on the face, the trunk (chest/back), or the lower limbs (legs/hip).",,Tayside and Fife
C44,Other malignant neoplasms of skin (covers non-melanoma skin cancers like basal cell or squamous cell carcinoma).,Chapter II: Neoplasms,"Non-melanoma skin cancers, most commonly Basal Cell Carcinoma (BCC) or Squamous Cell Carcinoma (SCC).",malignant neoplasm of: sebaceous glands | malignant neoplasm of: sweat glands,National Scotland
C45,Mesothelioma.,Chapter II: Neoplasms,"A rare cancer highly associated with asbestos exposure, usually affecting the lining of the lungs or abdomen.",morphology code M905 with behaviour code /3,National Scotland
C459,"Mesothelioma,unspecified.",Chapter II: Neoplasms,"A rare cancer highly associated with asbestos exposure, usually affecting the lining of the lungs or abdomen.",,Tayside and Fife
C48,Malignant neoplasm of retroperitoneum and peritoneum (lining of the abdominal cavity).,Chapter II: Neoplasms,Cancer of the specialized membranes that line the inside of the abdominal cavity and wrap around the abdominal organs.,,National Scotland
C49,Malignant neoplasm of other connective and soft tissue,Chapter II: Neoplasms,"Also known as sarcomas, these are cancers that start in muscles, fat, tendons, or deep skin tissues.","blood vessel | bursa | cartilage | fascia | fat | ligament, except uterine | lymphatic vessel | muscle | synovia | tendon (sheath)",National Scotland
C50,Malignant neoplasm of breast.,Chapter II: Neoplasms,Breast cancer where the specific quadrant of the tissue is not detailed.,connective tissue of breast,National Scotland
C500,Malignant neoplasm of nipple and areola.,Chapter II: Neoplasms,Cancer located directly in the nipple or the dark ring of skin surrounding it.,,Tayside and Fife
C502,Malignant neoplasm of upper-inner quadrant of breast,Chapter II: Neoplasms,Doctors divide the breast into four quadrants like a map; these codes track whether the tumor is on the upper side closer to the breastbone (inner) or closer to the armpit (outer).,,Tayside and Fife
C504,Malignant neoplasm of upper-outer quadrant of breast.,Chapter II: Neoplasms,Doctors divide the breast into four quadrants like a map; these codes track whether the tumor is on the upper side closer to the breastbone (inner) or closer to the armpit (outer).,,Tayside and Fife
C508,Malignant neoplasm of overlapping sites of breast.,Chapter II: Neoplasms,Used when a single breast tumor is large enough to bridge across multiple quadrants.,,Tayside and Fife
C509,"Malignant neoplasm of breast, unspecified.",Chapter II: Neoplasms,Breast cancer where the specific quadrant of the tissue is not detailed.,,Tayside and Fife
C51,Malignant neoplasm of vulva.,Chapter II: Neoplasms,Cancer of the external female genitalia.,,National Scotland
C519,"Malignant neoplasm of vulva, unspecified.",Chapter II: Neoplasms,Cancer of the external female genitalia.,External female genitalia NOS | Pudendum,Tayside and Fife
C53,Malignant neoplasm of cervix uteri.,Chapter II: Neoplasms,"Cancer of the cervix, which is the narrow neck of the uterus connecting to the vagina.",,National Scotland
C539,"Malignant neoplasm of cervix uteri, unspecified.",Chapter II: Neoplasms,"Cancer of the cervix, which is the narrow neck of the uterus connecting to the vagina.",,Tayside and Fife
C54,Malignant neoplasm of corpus uteri (body of the uterus).,Chapter II: Neoplasms,"Cancer of the main body of the uterus. ""Endometrium"" specifically means it started in the inner tissue lining that sheds during a menstrual cycle.",,National Scotland
C541,Malignant neoplasm of endometrium (inner lining of the uterus).,Chapter II: Neoplasms,"Cancer of the main body of the uterus. ""Endometrium"" specifically means it started in the inner tissue lining that sheds during a menstrual cycle.",,Tayside and Fife
C55,"Malignant neoplasm of uterus, part unspecified",Chapter II: Neoplasms,Uterine cancer where the record does not clarify if it started in the cervix or the inner body.,,National Scotland
C55X,"Malignant neoplasm of uterus, part unspecified",Chapter II: Neoplasms,Uterine cancer where the record does not clarify if it started in the cervix or the inner body.,,Tayside and Fife
C56,Malignant neoplasm of ovary.,Chapter II: Neoplasms,Cancer originating in the female egg-producing reproductive glands.,,National Scotland
C56X,Malignant neoplasm of ovary.,Chapter II: Neoplasms,Cancer originating in the female egg-producing reproductive glands.,,Tayside and Fife
C61,Malignant neoplasm of prostate.,Chapter II: Neoplasms,Cancer of the walnut-sized gland in men that helps produce seminal fluid,,National Scotland
C61X,Malignant neoplasm of prostate.,Chapter II: Neoplasms,Cancer of the walnut-sized gland in men that helps produce seminal fluid,,Tayside and Fife
C61XD,Malignant neoplasm of prostate.,Chapter II: Neoplasms,Cancer of the walnut-sized gland in men that helps produce seminal fluid,,Tayside and Fife
C62,Malignant neoplasm of testis.,Chapter II: Neoplasms,Cancer of the male reproductive glands located inside the scrotum.,,National Scotland
C629,"Malignant neoplasm of testis, unspecified.",Chapter II: Neoplasms,Cancer of the male reproductive glands located inside the scrotum.,,Tayside and Fife
C64,"Malignant neoplasm of kidney, except renal pelvis.",Chapter II: Neoplasms,Cancer originating in the main body of the kidney where blood is filtered.,,National Scotland
C64X,"Malignant neoplasm of kidney, except renal pelvis.",Chapter II: Neoplasms,Cancer originating in the main body of the kidney where blood is filtered.,,Tayside and Fife
C65,Malignant neoplasm of renal pelvis.,Chapter II: Neoplasms,Cancer located specifically in the funnel-like basin at the center of the kidney where urine collects before flowing down to the bladder.,Pelviureteric junction | Renal calyces,National Scotland
C65X,Malignant neoplasm of renal pelvis.,Chapter II: Neoplasms,Cancer located specifically in the funnel-like basin at the center of the kidney where urine collects before flowing down to the bladder.,Pelviureteric junction | Renal calyces,Tayside and Fife
C67,Malignant neoplasm of bladder,Chapter II: Neoplasms,Cancer originating in the tissues of the urinary bladder.,,National Scotland
C679,"Malignant neoplasm of bladder, unspecified",Chapter II: Neoplasms,"Bladder cancer where the specific anatomical wall (e.g., dome, lateral wall, bladder neck) is not specified in the records.",,Tayside and Fife
C693,Malignant neoplasm of choroid,Chapter II: Neoplasms,"A primary cancer of the eye, specifically originating in the choroidâ€”the vascular layer of tissue filled with blood vessels that sits between the retina and the sclera (white of the eye).",,Tayside and Fife
C71,Malignant neoplasm of brain,Chapter II: Neoplasms,Primary cancer originating directly in the tissues of the brain.,,National Scotland
C719,"Malignant neoplasm of brain, unspecified",Chapter II: Neoplasms,"Brain cancer where the specific lobe (frontal, temporal, occipital, etc.) or brainstem area is not documented.",,Tayside and Fife
C73,Malignant neoplasm of thyroid gland,Chapter II: Neoplasms,"Cancer originating in the butterfly-shaped thyroid gland at the base of the neck. The ""X"" functions as a standard software data structural placeholder.",,National Scotland
C73X,Malignant neoplasm of thyroid gland,Chapter II: Neoplasms,"Cancer originating in the butterfly-shaped thyroid gland at the base of the neck. The ""X"" functions as a standard software data structural placeholder.",,Tayside and Fife
C76,Malignant neoplasm of other and ill-defined sites,Chapter II: Neoplasms,Fallback category for cancers where the primary site is known to be in a general region but cannot be isolated to a single organ.,,National Scotland
C762,Malignant neoplasm of abdomen,Chapter II: Neoplasms,A primary tumor located within the abdominal cavity walls or general abdominal region that cannot be assigned to a more specific organ (like the liver or bowel).,,Tayside and Fife
C77,Secondary and unspecified malignant neoplasm of lymph nodes,Chapter II: Neoplasms,The baseline parent code for cancer that has metastasized to the lymph nodes.,,National Scotland
C770,"Secondary and unspecified malignant neoplasm of lymph nodes of head, face and neck",Chapter II: Neoplasms,Cancer that has spread to the lymph nodes in the neck and head area (such as cervical or submandibular nodes).,Supraclavicular lymph nodes,Tayside and Fife
C771,Secondary and unspecified malignant neoplasm of intrathoracic lymph nodes,Chapter II: Neoplasms,Cancer that has spread to the lymph nodes inside the chest cavity (such as mediastinal or hilar nodes).,,Tayside and Fife
C772,Secondary and unspecified malignant neoplasm of intra-abdominal lymph nodes,Chapter II: Neoplasms,Cancer that has spread to the lymph nodes located inside the abdomen (such as mesenteric or para-aortic nodes).,,Tayside and Fife
C773,Secondary and unspecified malignant neoplasm of axillary and upper limb lymph nodes,Chapter II: Neoplasms,Cancer that has spread to the lymph nodes in the armpit (axilla) or arm (frequently tracked during breast cancer treatments).,Pectoral lymph nodes,Tayside and Fife
C774,Secondary and unspecified malignant neoplasm of inguinal and lower limb lymph nodes,Chapter II: Neoplasms,Cancer that has spread to the lymph nodes in the groin (inguinal area) or leg.,,Tayside and Fife
C775,Secondary and unspecified malignant neoplasm of intrapelvic lymph nodes,Chapter II: Neoplasms,Cancer that has spread to the lymph nodes located within the lower pelvis (such as iliac nodes),,Tayside and Fife
C779,"Secondary and unspecified malignant neoplasm of lymph node, unspecified",Chapter II: Neoplasms,"Cancer found in a lymph node, but the medical record does not state where that lymph node is located in the body.",,Tayside and Fife
C78,Secondary malignant neoplasm of respiratory and digestive organs,Chapter II: Neoplasms,The category parent code for cancer spreading to chest or gut organs.,,National Scotland
C780,Secondary malignant neoplasm of lung,Chapter II: Neoplasms,"Cancer that started elsewhere (e.g., breast, colon) and has spread to form tumors in the lungs.",,Tayside and Fife
C781,Secondary malignant neoplasm of mediastinum,Chapter II: Neoplasms,Metastatic tumors in the central area of the chest cavity between the lungs.,,Tayside and Fife
C782,Secondary malignant neoplasm of pleura,Chapter II: Neoplasms,Cancer that has spread to the outer protective lining surrounding the lungs,Malignant pleural effusion NOS,Tayside and Fife
C782D,Secondary malignant neoplasm of pleura,Chapter II: Neoplasms,Cancer that has spread to the outer protective lining surrounding the lungs,,Tayside and Fife
C785,Secondary malignant neoplasm of large intestine and rectum,Chapter II: Neoplasms,Metastatic tumors that have nested inside the large bowel from a different primary cancer site.,,Tayside and Fife
C786,Secondary malignant neoplasm of retroperitoneum and peritoneum,Chapter II: Neoplasms,Cancer that has spread across the membranes lining the inner walls of the abdomen.,Malignant ascites NOS,Tayside and Fife
C787,Secondary malignant neoplasm of liver and intrahepatic bile duct,Chapter II: Neoplasms,Cancer that has metastasized into the liver tissue from another organ (extremely common with primary digestive cancers).,,Tayside and Fife
C788,Secondary malignant neoplasm of other and unspecified digestive organs,Chapter II: Neoplasms,Cancer spreading to miscellaneous digestive structures like the stomach or pancreas,,Tayside and Fife
C79,Secondary malignant neoplasm of other and unspecified sites,Chapter II: Neoplasms,Category parent code for advanced metastases to other areas of the body.,,National Scotland
C790,Secondary malignant neoplasm of kidney and renal pelvis,Chapter II: Neoplasms,Cancer that has spread into the tissue of the kidneys from a different primary site.,,Tayside and Fife
C791,Secondary malignant neoplasm of bladder and other and unspecified urinary organs,Chapter II: Neoplasms,Metastatic cancer nesting inside the urinary tract structures.,,Tayside and Fife
C793,Secondary malignant neoplasm of brain and cerebral meninges,Chapter II: Neoplasms,Cancer that started elsewhere in the body and has metastasized to the brain tissues or its surrounding membranes.,,Tayside and Fife
C795,Secondary malignant neoplasm of bone and bone marrow,Chapter II: Neoplasms,Metastatic cancer that has spread into the skeletal system or the blood-producing marrow inside the bones.,,Tayside and Fife
C795D,Secondary malignant neoplasm of bone and bone marrow,Chapter II: Neoplasms,Metastatic cancer that has spread into the skeletal system or the blood-producing marrow inside the bones.,,Tayside and Fife
C796,Secondary malignant neoplasm of ovary,Chapter II: Neoplasms,"Metastatic cancer that has spread to the ovaries (often from primary stomach or colon cancers, historically referred to as a Krukenberg tumor).",,Tayside and Fife
C797,Secondary malignant neoplasm of adrenal gland,Chapter II: Neoplasms,Cancer that has spread to the small hormone-producing glands sitting on top of the kidneys.,,Tayside and Fife
C798,Secondary malignant neoplasm of other specified sites,Chapter II: Neoplasms,"Metastasis to specific sites not covered in other sections, such as the skin or muscles.",,Tayside and Fife
C799,Secondary malignant neoplasm of unspecified site,Chapter II: Neoplasms,"Advanced metastatic disease where the secondary tumors are noted, but their exact physical sites are not listed in the data.",Carcinomatosis (secondary) | Disseminated (secondary): cancer NOS | Disseminated (secondary): malignancy NOS | Generalized (secondary): cancer NOS | Generalized (secondary): malignancy NOS | Multiple secondary cancer NOS | Sarcomatosis (secondary) NOS,Tayside and Fife
C80,Malignant neoplasm without specification of site,Chapter II: Neoplasms,"Commonly referred to in medicine as Cancer of Unknown Primary (CUP). This code is used when a patient has a verified primary malignant cancer, but doctors are entirely unable to determine what organ or tissue it originally started in.",,National Scotland
C80X,Malignant neoplasm without specification of site,Chapter II: Neoplasms,"Commonly referred to in medicine as Cancer of Unknown Primary (CUP). This code is used when a patient has a verified primary malignant cancer, but doctors are entirely unable to determine what organ or tissue it originally started in.",,Tayside and Fife
C81,Hodgkin lymphoma : Blood cancer,Chapter II: Neoplasms,"A specific type of lymphoma characterized by the presence of unique, abnormal cells called Reed-Sternberg cells.",,National Scotland
C82,Follicular lymphoma : Blood cancer,Chapter II: Neoplasms,A slow-growing (indolent) form of Non-Hodgkin Lymphoma that develops in circular patterns inside the lymph nodes.,follicular lymphoma with or without diffuse areas,National Scotland
C821,Follicular lymphoma Grade II : Blood cancer,Chapter II: Neoplasms,Follicular lymphoma showing a moderate mix of small and large abnormal cells under a microscope.,,Tayside and Fife
C829,"Follicular lymphoma, unspecified : Blood cancer",Chapter II: Neoplasms,"Follicular lymphoma where the specific grade (I, II, or III) is not documented.",Nodular lymphoma NOS,Tayside and Fife
C83,Non-follicular lymphoma,Chapter II: Neoplasms,A broad grouping of Non-Hodgkin Lymphomas that grow more diffusely through the lymph node tissue rather than in tight circular clusters (includes aggressive types like Diffuse Large B-Cell Lymphoma).,,National Scotland
C85,Other and unspecified types of non-Hodgkin lymphoma,Chapter II: Neoplasms,"A general category code used when a patient is diagnosed with Non-Hodgkin Lymphoma, but the specific cellular subtype is not fully classified or specified in the report.",,National Scotland
C90,Multiple myeloma and malignant plasma cell neoplasms,Chapter II: Neoplasms,A primary blood cancer originating in the bone marrow's plasma cells.,,National Scotland
C900,Multiple myeloma,Chapter II: Neoplasms,The specific code for classic systemic multiple myeloma.,Kahler disease | Medullary plasmacytoma | Myelomatosis | Plasma cell myeloma,Tayside and Fife
C91,Lymphoid Leukemia,Chapter II: Neoplasms,"The bone marrow produces too many abnormal lymphocytes, which crowd out healthy blood cells. [1]",,National Scotland
C92,Myeloid Leukemia,Chapter II: Neoplasms,"The bone marrow produces abnormal, immature myeloid cells (blasts) that cannot function properly.",leukaemia: granulocytic | leukaemia: myelogenous,National Scotland
